Timestamp,S1_1,S1_2,S1_3,S1_4,S1_5,S1_6,S2_1,S2_2,S3_1,S3_2,S4_1,S4_2,Nivel_agua,Nivel_total
2022-03-28 16:31:27.077450,1524.09625,1524.67308,1530.24888,1538.64257,1552.56196,1553.27935,1530.99701,1539.25886,1544.75112,1550.43193,1545.14007,1559.75449,257.0,257.0
2022-03-28 16:31:27.577450,1524.09596,1524.67373,1530.24853,1538.64281,1552.56196,1553.27909,1530.99589,1539.25846,1544.75074,1550.43174,1545.13999,1559.75354,257.0,257.0
2022-03-28 16:31:28.077450,1524.09306,1524.67408,1530.24789,1538.64256,1552.5617,1553.27887,1530.99544,1539.25846,1544.75202,1550.43209,1545.14103,1559.75356,257.0,257.0
2022-03-28 16:31:28.577450,1524.0942,1524.67468,1530.24763,1538.64273,1552.5619,1553.27865,1530.99638,1539.25863,1544.75167,1550.43109,1545.14116,1559.75408,257.0,257.0
2022-03-28 16:31:29.077450,1524.09368,1524.67375,1530.24881,1538.64342,1552.56195,1553.27914,1530.99725,1539.25792,1544.75192,1550.43199,1545.14069,1559.75412,257.0,257.0
2022-03-28 16:31:29.577450,1524.09469,1524.67332,1530.2484,1538.64296,1552.56171,1553.2793,1530.99653,1539.25831,1544.75185,1550.43175,1545.14012,1559.75373,257.0,257.0
2022-03-28 16:31:30.077450,1524.0929,1524.67396,1530.24873,1538.64281,1552.5619,1553.27929,1530.99687,1539.25871,1544.75143,1550.43271,1545.14026,1559.7537,257.0,257.0
2022-03-28 16:31:30.577450,1524.09265,1524.67397,1530.24836,1538.6427,1552.56117,1553.27934,1530.99688,1539.25894,1544.7514,1550.43152,1545.14085,1559.7533,257.0,257.0
2022-03-28 16:31:31.077450,1524.09286,1524.67412,1530.2484,1538.64278,1552.56164,1553.27895,1530.99733,1539.25877,1544.75132,1550.4312,1545.14091,1559.75398,257.0,257.0
2022-03-28 16:31:35.577450,1524.09291,1524.67324,1530.24887,1538.64225,1552.5625,1553.27875,1530.99729,1539.25832,1544.75196,1550.43086,1545.14032,1559.75357,257.0,257.0
2022-03-28 16:31:36.077450,1524.09459,1524.67376,1530.24911,1538.64274,1552.56216,1553.27902,1530.99704,1539.25846,1544.75132,1550.43081,1545.1406,1559.75424,257.0,257.0
2022-03-28 16:31:36.577450,1524.09619,1524.67339,1530.24882,1538.64225,1552.5623,1553.27885,1530.99692,1539.25875,1544.75158,1550.43136,1545.14056,1559.75337,257.0,257.0
2022-03-28 16:31:37.077450,1524.09857,1524.67409,1530.24917,1538.64297,1552.56215,1553.27907,1530.99673,1539.25869,1544.75118,1550.4314,1545.1408,1559.75397,257.0,257.0
2022-03-28 16:31:37.577450,1524.09857,1524.67394,1530.24884,1538.64296,1552.56151,1553.27894,1530.99775,1539.25924,1544.75109,1550.4325,1545.14012,1559.75295,257.0,257.0
2022-03-28 16:31:38.077450,1524.09596,1524.67334,1530.2477,1538.6421,1552.56136,1553.27861,1530.99754,1539.25927,1544.75131,1550.4314,1545.14091,1559.75374,257.0,257.0
2022-03-28 16:31:38.577450,1524.09556,1524.67292,1530.24818,1538.64229,1552.56214,1553.27912,1530.99708,1539.25873,1544.75168,1550.43094,1545.14034,1559.75357,257.0,257.0
