;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_max_depth;param_max_features;param_min_samples_leaf;param_min_samples_split;param_n_estimators;params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;mean_test_score;std_test_score;rank_test_score
259;9.376947402954102;0.056713419833456354;0.11137127876281738;0.0008399194519592869;20;sqrt;2;10;200;{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200};0.999932250089767;0.9999138830961202;0.9999901674197044;0.999958659234948;0.999981330325904;0.9999552580332887;2.8814054784625677e-05;43
255;4.73330545425415;0.027668097437149666;0.05788764953613281;0.0006637114647391378;20;sqrt;2;5;100;{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100};0.9999362447112622;0.9999270023421442;0.9999866914109997;0.999949833210357;0.9999764772493573;0.9999552497848241;2.2924359206246686e-05;45
282;4.714840412139893;0.028951106062374034;0.0570683479309082;0.0003802544488087371;20;log2;2;5;100;{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100};0.9999362447112622;0.9999270023421442;0.9999866914109997;0.999949833210357;0.9999764772493573;0.9999552497848241;2.2924359206246686e-05;45
12;4.719480800628662;0.0320941954342831;0.05733680725097656;0.0004805822643733711;;sqrt;2;5;100;{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100};0.9999362425552709;0.9999270023421442;0.9999866914109997;0.9999497594482837;0.9999764772493573;0.9999552346012113;2.292822078983928e-05;47
39;4.7127439975738525;0.0256816161694643;0.057515621185302734;0.00024245451038271338;;log2;2;5;100;{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100};0.9999362425552709;0.9999270023421442;0.9999866914109997;0.9999497594482837;0.9999764772493573;0.9999552346012113;2.292822078983928e-05;47
283;9.380188369750977;0.03526051834888048;0.11078925132751465;0.000273221425289176;20;log2;2;5;200;{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200};0.9999353081899401;0.9999079348342798;0.9999896722705709;0.9999607890183599;0.9999824477168524;0.9999552304060005;3.0304085578037437e-05;49
256;9.40135440826416;0.03374405191679068;0.11202421188354492;0.0011705392363094275;20;sqrt;2;5;200;{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200};0.9999353081899401;0.9999079348342798;0.9999896722705709;0.9999607890183599;0.9999824477168524;0.9999552304060005;3.0304085578037437e-05;49
13;9.393545770645142;0.02478906364686047;0.11239256858825683;0.001190805661445822;;sqrt;2;5;200;{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200};0.9999353079543544;0.9999079348342798;0.9999896722705709;0.9999607476432698;0.9999824278733135;0.9999552181151576;3.0299038265504916e-05;51
40;9.433859634399415;0.08478992129379592;0.11146807670593262;0.00037787204224523624;;log2;2;5;200;{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200};0.9999353079543544;0.9999079348342798;0.9999896722705709;0.9999607476432698;0.9999824278733135;0.9999552181151576;3.0299038265504916e-05;51
253;9.595449829101563;0.08103648452505477;0.11478404998779297;0.004077161422458261;20;sqrt;2;2;200;{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200};0.9999362392819767;0.9999052435472479;0.9999895267097989;0.999960661645928;0.9999817590119398;0.9999546860393782;3.0878370808734946e-05;53
280;9.388975572586059;0.026379268814814748;0.11125926971435547;0.0010162476908125103;20;log2;2;2;200;{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200};0.9999362392819767;0.9999052435472479;0.9999895267097989;0.999960661645928;0.9999817590119398;0.9999546860393782;3.0878370808734946e-05;53
10;9.390828561782836;0.019477871307479563;0.11368341445922851;0.0028383124379847643;;sqrt;2;2;200;{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200};0.9999362394473452;0.9999052435472479;0.9999895267097989;0.9999606569815138;0.9999817392498944;0.9999546811871601;3.087470593400343e-05;55
37;9.432488012313843;0.020239910261414536;0.1119499683380127;0.0006237434197667359;;log2;2;2;200;{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200};0.9999362394473452;0.9999052435472479;0.9999895267097989;0.9999606569815138;0.9999817392498944;0.9999546811871601;3.087470593400343e-05;55
279;4.717997121810913;0.03167407113831263;0.05731649398803711;0.00023970848193801414;20;log2;2;2;100;{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100};0.999935016493136;0.9999211255596334;0.999986284252103;0.9999489537615707;0.9999757251636353;0.9999534210460157;2.440961537922909e-05;57
252;4.733073759078979;0.06658753900359077;0.05810823440551758;0.0017243684387166288;20;sqrt;2;2;100;{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100};0.999935016493136;0.9999211255596334;0.999986284252103;0.9999489537615707;0.9999757251636353;0.9999534210460157;2.440961537922909e-05;57
9;4.713882684707642;0.031984158659487665;0.05831623077392578;0.0016159827252980898;;sqrt;2;2;100;{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100};0.9999350159409615;0.9999211255596334;0.999986284252103;0.9999488999160068;0.9999757251636353;0.9999534101664681;2.441167890411068e-05;59
36;4.740595960617066;0.04392304410136035;0.05750265121459961;0.0003962092313742938;;log2;2;2;100;{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100};0.9999350159409615;0.9999211255596334;0.999986284252103;0.9999488999160068;0.9999757251636353;0.9999534101664681;2.441167890411068e-05;59
257;23.40102219581604;0.03196613038749012;0.272206974029541;0.001502907254169349;20;sqrt;2;5;500;{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 500};0.9999447295914872;0.9999115416003713;0.9999917605210046;0.9999323178017951;0.9999859708324679;0.9999532640694252;3.099695790941277e-05;61
284;23.396849489212038;0.02766428579142219;0.27624049186706545;0.007914610535341345;20;log2;2;5;500;{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 500};0.9999447295914872;0.9999115416003713;0.9999917605210046;0.9999323178017951;0.9999859708324679;0.9999532640694252;3.099695790941277e-05;61
14;23.394650506973267;0.01608517073291338;0.2827573299407959;0.007134938933770023;;sqrt;2;5;500;{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 500};0.9999447271033536;0.9999115539469513;0.9999917501437017;0.9999322814045234;0.9999859681480283;0.9999532561493117;3.099555029267564e-05;63
41;23.423139142990113;0.0565463546208322;0.2807783603668213;0.0073612501424604555;;log2;2;5;500;{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 500};0.9999447271033536;0.9999115539469513;0.9999917501437017;0.9999322814045234;0.9999859681480283;0.9999532561493117;3.099555029267564e-05;63
11;23.451887989044188;0.043855809457373975;0.2788235664367676;0.007383190485108605;;sqrt;2;2;500;{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500};0.9999458270748851;0.9999100373315731;0.9999917996999553;0.9999327630370776;0.9999856842901279;0.9999532222867238;3.124166731221583e-05;65
38;23.386808729171754;0.026524469331667695;0.27581334114074707;0.008236492630046869;;log2;2;2;500;{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500};0.9999458270748851;0.9999100373315731;0.9999917996999553;0.9999327630370776;0.9999856842901279;0.9999532222867238;3.124166731221583e-05;65
281;23.419005489349367;0.06988915099142691;0.2709083080291748;0.0012536213160207934;20;log2;2;2;500;{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500};0.9999458296089765;0.9999100232031333;0.9999918064031817;0.9999327611145477;0.9999856870700465;0.9999532214799771;3.1247938395797524e-05;67
254;23.488043069839478;0.06106434437185499;0.27566018104553225;0.005643362325303903;20;sqrt;2;2;500;{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500};0.9999458296089765;0.9999100232031333;0.9999918064031817;0.9999327611145477;0.9999856870700465;0.9999532214799771;3.1247938395797524e-05;67
260;23.3765549659729;0.07253304326844756;0.27271299362182616;0.004246617289807357;20;sqrt;2;10;500;{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 500};0.9999438523434544;0.9999114683021476;0.9999914493664063;0.9999307461446174;0.9999847636878761;0.9999524559689004;3.0950287305670066e-05;69
287;23.41033306121826;0.042834135444224625;0.27231221199035643;0.002548625021752606;20;log2;2;10;500;{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 500};0.9999438523434544;0.9999114683021476;0.9999914493664063;0.9999307461446174;0.9999847636878761;0.9999524559689004;3.0950287305670066e-05;69
17;23.43479151725769;0.08101644408333386;0.2760787010192871;0.008235602520807394;;sqrt;2;10;500;{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 500};0.99994385041338;0.9999114721656056;0.9999914266451922;0.9999307576402937;0.9999847594611398;0.9999524532651222;3.0941151780764675e-05;71
44;23.405798530578615;0.06701902127919605;0.27216949462890627;0.000955278532693836;;log2;2;10;500;{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 500};0.99994385041338;0.9999114721656056;0.9999914266451922;0.9999307576402937;0.9999847594611398;0.9999524532651222;3.0941151780764675e-05;71
19;9.37080397605896;0.04337629523781587;0.11223773956298828;0.0008541015733763483;;sqrt;4;2;200;{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200};0.9998939541972226;0.9998771741469632;0.9999824370443262;0.9999285653325297;0.999961129090808;0.99992865196237;3.9500650127882035e-05;73
22;9.422335767745972;0.0903007543993269;0.1124241828918457;0.001117372456857744;;sqrt;4;5;200;{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200};0.9998939541972226;0.9998771741469632;0.9999824370443262;0.9999285653325297;0.999961129090808;0.99992865196237;3.9500650127882035e-05;73
49;9.364847564697266;0.03739666045625108;0.11131482124328614;0.0005779856944359421;;log2;4;5;200;{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200};0.9998939541972226;0.9998771741469632;0.9999824370443262;0.9999285653325297;0.999961129090808;0.99992865196237;3.9500650127882035e-05;73
46;9.362331008911132;0.03203896455146364;0.11137619018554687;0.0010009371077180328;;log2;4;2;200;{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200};0.9998939541972226;0.9998771741469632;0.9999824370443262;0.9999285653325297;0.999961129090808;0.99992865196237;3.9500650127882035e-05;73
262;9.353094863891602;0.037069017805035444;0.1116495132446289;0.0012755142993774993;20;sqrt;4;2;200;{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200};0.9998937718985497;0.9998771741469632;0.9999824370443262;0.9999286057736697;0.999961129090808;0.9999286235908633;3.953272404595492e-05;77
